Food Description,Calories (kcal),Total Fat (g),Cholesterol (mg),Carbohydrate (g),Sugar (g),Protein (g),cluster
"BUTTER,WITH SALT",717.0,81.11,215.0,0.06,0.06,0.85,0
"BUTTER,WHIPPED,WITH SALT",717.0,81.11,219.0,0.06,0.06,0.85,0
"BUTTER OIL,ANHYDROUS",876.0,99.48,256.0,0.0,0.0,0.28,0
"CHEESE,BLUE",353.0,28.74,75.0,2.34,0.5,21.4,1
"CHEESE,BRICK",371.0,29.68,94.0,2.79,0.51,23.24,1
"CHEESE,BRIE",334.0,27.68,100.0,0.45,0.45,20.75,1
"CHEESE,CAMEMBERT",300.0,24.26,72.0,0.46,0.46,19.8,1
"CHEESE,CARAWAY",376.0,29.2,93.0,3.06,8.256540404040422,25.18,1
"CHEESE,CHEDDAR",403.0,33.14,105.0,1.28,0.52,24.9,1
"CHEESE,CHESHIRE",387.0,30.6,103.0,4.78,8.256540404040422,23.37,1
"CHEESE,COLBY",394.0,32.11,95.0,2.57,0.52,23.76,1
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98.0,4.3,17.0,3.38,2.67,11.12,1
"CHEESE,COTTAGE,CRMD,W/FRUIT",97.0,3.85,13.0,4.61,2.38,10.69,1
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72.0,0.29,7.0,6.66,1.85,10.34,1
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",86.0,2.45,10.0,3.66,3.67,11.83,1
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72.0,1.02,4.0,2.72,2.72,12.39,1
"CHEESE,CREAM",342.0,34.24,110.0,4.07,3.21,5.93,1
"CHEESE,EDAM",357.0,27.8,89.0,1.43,1.43,24.99,1
"CHEESE,FETA",264.0,21.28,89.0,4.09,4.09,14.21,1
"CHEESE,FONTINA",389.0,31.14,116.0,1.55,1.55,25.6,1
"CHEESE,GJETOST",466.0,29.51,94.0,42.65,8.256540404040422,9.65,0
"CHEESE,GOUDA",356.0,27.44,114.0,2.22,2.22,24.94,1
"CHEESE,GRUYERE",413.0,32.34,110.0,0.36,0.36,29.81,1
"CHEESE,LIMBURGER",327.0,27.25,90.0,0.49,0.49,20.05,1
"CHEESE,MONTEREY",373.0,30.28,89.0,0.68,0.5,24.48,1
"CHEESE,MOZZARELLA,WHL MILK",300.0,22.35,79.0,2.19,1.03,22.17,1
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318.0,24.64,89.0,2.47,1.01,21.6,1
"CHEESE,MOZZARELLA,PART SKIM MILK",254.0,15.92,64.0,2.77,1.13,24.26,1
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",302.0,20.03,54.0,3.83,0.6,25.96,1
"CHEESE,MUENSTER",368.0,30.04,96.0,1.12,1.12,23.41,1
"CHEESE,NEUFCHATEL",253.0,22.78,74.0,3.59,3.19,9.15,1
"CHEESE,PARMESAN,GRATED",431.0,28.61,88.0,4.06,0.9,38.46,1
"CHEESE,PARMESAN,HARD",392.0,25.83,68.0,3.22,0.8,35.75,1
